Item,Code,Description,Purpose,Specifications,Options,Points,Price
PLATINUM LOGO STICKER,MC0011,A full colored platinum logo sticker.,Promotions and giveaway for Cars/ Motorcycle,1.725 x 4.880'' DIE CUT LAMINATED VINYL STICKER,N/A,5,8
MOTORCYCLE STICKER,MC0002,A small sticker design in the shape of a motorcycle helmet.,Promotions and giveaway for Motorcyclists.,3.02 x 2.027 DIE CUT LAMINATED VINYL STICKER,N/A,6,10
PLATINUM FOLDER,MS0044,Business folder of platinum with full C&I product listing inside.,Business presentation to C&I customers.,"BI-FOLD DESIGN, FITS A4 SIZE",N/A,30,40
PLATINUM BROCHURE,MC0007,Platinum brochure containing all small packs products of platinum in the automotive sector.,To introduce Platinum and its small packs line of products.,"4 PANELS, 3 FOLDS",N/A,7,10
PLATINUM POSTERS,"MC0008A, MC0008B, MC0008C, MC0008D, MC0008E, MC0008F, MC0008G, MC0008H",Wall poster for all different products of platinum.,To be posted INDOOR in different stores to promote the brand.,A3 (11.69 x 16.53 INCHES) TYPE OF PAPER: PHOTO FULL COLOR,A - FULLY SYNTHETIC ENGINE OIL  B - SEMI-SYNTHETIC ENGINE OIL  C - GAS ENGINE OIL  D - DIESEL ENGINE OIL  E - FULLY SYNTHETIC MCO F - MCO  G - GEN. MAINTENANCE  H - ALL PRODUCTS ,20,40
PLATINUM CHANGE OIL STICKER,OIL,"Platinum sticker to be posted on dashboard or engine, indicating details of last change oil.",To be used by Dealer Service Centers engaged in Oil Change Service.,SATIN STICKER PAPER 3 x 3 INCHES,N/A,2,5
PLATINUM SMALL TARP,"MC0073, MC0074, MC0075, MC0076, MC0077, MC0078, MC0079",Light and handy tarpaulins help to catch the attention of the customers,To be posted OUTDOOR in different stores to promote the brand.,SIZE: 1.5 x 2.5 FT FULL COLOR TARPAULIN,A - FULLY SYNTHETIC ENGINE OIL  B - SEMI-SYNTHETIC ENGINE OIL  C - GAS ENGINE OIL  D - DIESEL ENGINE OIL  E - FULLY SYNTHETIC MCO  F - MCO G - GEN. MAINTENANCE  H - ALL PRODUCTS ,70,160
PLATINUM CALLING CARD,MC0009,Business card for platinum bearing all necessary contact details.,To be given to potential customers for networking.,VELLUM MATTE PAPER SIZE: 3.5 x 2 INCHES,50 PCS.,100,100
PLATINUM MEDIUM TARP,TARP,A tarpaulin designed with the best chosen product line-up from platinum.,To be used as an advertisement for OUTDOOR locations.,SIZE: 3 x 6 FT. FULL COLOR TARAPAULIN,A - FULLY SYNTHETIC ENGINE OIL B - SEMI-SYNTHETIC ENGINE OIL C - GAS ENGINE OIL D - DIESEL ENGINE OIL E - FULLY SYNTHETIC MCO F - MCO G - GEN. MAINTENANCE H - ALL PRODUCTS,300,450
PLATINUM HEADER,"MC0048, MC0049, MC0050",A Platinum header that catches the attention of customer.,To advertise our brand; For use INDOOR.,FULL COLOR SINTRA BOARD 3 inches x 24 inches,N/A,330,320
PLATINUM CUSTOM TARP,MC0020A,A tarpaulin to be printed for a specific purpose.,As needed by Customer or Sales Personnel.,SIZE: UP TO 5 FT HEIGHT AND AT ANY LENGTH FULL COLOR TARAPAULIN INCLUDES GRAPHIC DESIGN,PER SQ FOOT,25/sq ft,25.00/sq ft
PLATINUM STORE SIGNAGE,MC0018A,Store tapaulin signage for platinum with frame. Has area to put name of business/store.,Advertising and branding for dealer stores.,FULL COLOR TARPAULIN WITH STEEL FRAME,"2 x 6 FT: 1,000 points 1,200.00 3 x 9 FT: 2,000 points 2,400.00 4 x 12 FT: 3,300 points 4,000.00 5 x 15 FT: 5,000 points 6,000.00",varies,varies
PLATINUM CUSTOM SIGNAGE,SIGNAGE,Store signage with FRAME to be fabricated for a specific purpose.,Advertising and branding for dealer stores.,SIZE: UP TO 5 FT HEIGHT AND AT ANY LENGTH FULL COLOR TARAPAULIN WITH STEEL FRAME INCLUDES GRAPHIC DESIGN,PER SQ FOOT,150/sq ft,150.00/sq ft
PLATINUM PULL-UP BANNERS,MC0021,"Light, handy, and convenient of display banner that comes with the pull-up frame.",On-the-go display banner.,2 x 5 FT WITH MECHANISM,N/A,"1,250","1,750.00"
FLAG BANNER SMALL,MC0101,A flag banner display best to use on our event.,To advertise our brand,6 FT WITH STAND,N/A,350,"8,000.00"
FLAG BANNER MEDIUM,MC0102,A flag banner display best to use on our event.,To advertise our brand,8 FT WITH STAND,N/A,500,"9,000.00"
PLATINUM TENT,MC0105,Basic need for our event. Can accommodate 2 small long tables each sides.,To attract customers and inquiries as well as provide entertainment.,2 X 2 METERS PRE-ORDER [2-3 WEEKS],N/A,800/DAY,"18,500.00"
PLATINUM BASKETBALL ARCADE,ARCADE,For additional attention catcher,To attract customers and inquiries as well as provide entertainment.,"81.0"" X 43.0"" X 81.5"" COMPLETE SET INCLUDED 3 BALLS",N/A,800/DAY,"10,000.00"
DRUM COUCH,COUCH,A customized couch that is made out of an oil drum.,Furniture & Fixture,2-SEATER CAPACITY,N/A,"8,000","12,000.00"
DRUM SEAT,SEAT,A customized seat that is made out of an oil drum.,Furniture & Fixture,1-SEATER CAPACITY,N/A,"3,000","5,000.00"
DRUM TABLE,TABLE,A customized table that is made out of an oil drum.,Furniture & Fixture,HALF-DRUM,N/A,750,"1,000.00"
FURNITURE SET,FURNITURE,x1 Drum couch x2 Drum seat x1 Drum table,Furniture & Fixture,5-SEATER CAPACITY,N/A,"12,000","20,000.00"
DRUM PUMP,MC0025,A tool used to pump out oil contents from a drum.,Change oil operations for bulk users.,N/A,N/A,"2,000","1,500.00"
DRUM FAUCET,MC0053,A tool used to provide controlled flow from oil drum.,Change oil operations for bulk users.,N/A,N/A,600,750
ADVERTISING / PUBLICATION,ADVERTISE,"Advertising on behalf of a distributor in their local area or publication (i.e. Billboard, Newspaper, Magazine)",To promote within area of distributor.,COST OF ADVERTISING. MUST BE APPROVED BY MANAGEMENT,PER INVOICE,1/inv amt,0.50/inv amt.
TRAINING ON-SITE,TRAIN,TSD training for Lubes 101 or technical presentation at site of distributor.,To accommodate large number of attendees without need to visit OPC Office.,COST OF ACCOMMODATION AND TRAVEL SHOULDERED BY OPC. MEALS & VENUE SHOULDERED BY DISTRIBUTOR.,LUZON VISMIN,"1,500/per day 3,000/per day","2,000.00/per day 4,000.00/per day"
EVENT SPONSORSHIP,EVENT,"Sponsorship of distributor chosen event, such as: Car shows, Endorser, Races/Tournaments, etc.",To promote brand awareness within area of distributor.,COST OF SPONSORSHIP. MUST BE APPROVED BY MANAGEMENT,PER INVOICE,1/inv amt,0.50/inv amt.
BOOTHING WITH GIVEAWAYS,BOOTH,Platinum Booth to be set-up at Distributor Chosen Event within Luzon Area ONLY.,To attract customers and inquiries as well as provide entertainment.,"INCLUDES MANPOWER, PRIZES AND COLLATERALS MUST BE APPROVED BY MANAGEMENT",NCR LUZON,"5,000 10,000","8,000.00 16,000.00"
STORE DRESS-UP,SDO,"Full store dress up of Distributor Chosen Dealer Store or own store, to include: signage, posters, painting works, display racks, etc.",To create Platinum branded flagship store,"INCLUDES GRAPHIC DESIGN, FABRICATION, INSTALLATION, MINOR CARPENTRY & PAINTING, MANPOWER & LOGISTICS",NCR LUZON,"25,000 40,000","50,000.00 80,000.00"
TSD DEPLOYMENT,CODE,"TSD Representation for Distributor's customers for technical presentation, product evaluation, or lube survey.",To accommodate key accounts servicing for Distributors,"COST OF ACCOMMODATION, MEALS & TRAVEL OF TSD SHOULDERED BY OPC.",LUZON VISMIN,"1,000/per day 2,000/per day","1,500.00/per day 3,000.00/per day"
MKTG DESIGN FEE,DESIGN,"Tarpaulin, Poster, Sticker, Flyer or Private Label design to be created exclusively for you, to be given as softcopy.",Customized design solutions for Sales Personnel for use with their customers.,1-3 WORKING DAYS MUST BE APPROVED BY MARKETING & MANAGEMENT,PER PROJECT,300/per sku,500
ORACLE UNIFORM,TSO,Company Uniform within OPC for Sales Personnel. NOT ALLOWED FOR ACCOUNT SPECIALISTS.,Corporate Uniform,100% COTTON POLO SHIRT MUST BE APPROVED BY MANAGEMENT,SMALL MEDIUM LARGE XL,"1,200",600
ORACLE SHIRT,CODE,Basic Oracle Shirt that can be used by any personnel.,Casual Uniform,100% COTTON,FREE SIZE,600,300
BUSINESS CARD,BUSCARD,"Business card for OPC Sales Personnel, indicating all necessary contact details.",To be given to potential cutomers for networking.,VELLUM MATTE PAPER SIZE: 3.5 x 2 INCHES,50 PCS.,100,200
ORACLE FOLDER,FOLDER,Business folder of platinum with full C&I product listing inside.,Business presentation to C&I customers.,"BI-FOLD DESIGN, FITS A4 SIZE",N/A,15,20
COMPANY PROFILE,PROFILE,"Complete details of OPC including: company info, product offerings, services, etc.",Business profile to be given to potential customers as well as for accreditation.,A4 SIZE,N/A,5,8
SAMPLES IN PET BOTTLE,PB,Samples of OPC products obtained from Malolos plant in PET BOTTLE.,To provide samples to customers to assess quality and color of product.,100ML,N/A,10,15
"SAMPLES IN LITER, PAIL, OR DRUM",SAMPLE,Samples of OPC products obtained from Malolos plant in STANDARD PKG.,To provide samples to customers for product evaluation and testing on units.,"DRUM, PAIL OR BOTTLE GENERIC PACKAGING OR BRANDED MUST BE APPROVED BY TSD",N/A,1/from EU SRP,0.50/from EU SRP
PLANT TOUR (MALOLOS & MEYCAUAYAN),TOUR,Scheduled Plant Tour for customers with option to visit Meycauayan Warehouse.,"To showcase production capabilities of OPC to customers, inlcuding guests of Distributors.","INCLUDES DRIVER & CAR TO PLANT FROM OFFICE, AS WELL AS LUNCH MUST BE APPROVED BY MANAGEMENT",N/A,500,"1,000.00"
SERVICE VEHICLE USE - 1 DAY,SERVICE,"Service Vehicle use for 1-DAY, outside the once a week benefit of Sales Specialist.",To enable Sales Personnel to use Service Vehicles for customers.,"NO DRIVER INCLUDED, MUST BE APPROVED BY MANAGEMENT",N/A,250,500
SERVICE VEHICLE DELIVERY,SERVICEDEL,"Service Vehicle to be used for delivery of Rush Order, to accompany a client visit/TSD Joint Call. Up to 100L MAX.",For rush deliveries to be brought alongside sales calls.,100L MAX ORDER CAPACITY MUST BE APPROVED BY MANAGEMENT,N/A,150,300
OPC EXPRESS DELIVERY OF ORDER,EPRESS,To use In-House logistics of OPC to RUSH deliver a pending customer order. UPON AVAILABILITY.,"Rush deliver to customer, shouldered through points.",LUZON DELIVERIES ONLY PER SERVICES PRICELIST,N/A,0.5/inv amt,1.00/inv amt
3PL EXPRESS DELIVERY OF ORDER,S0108,"To be used as Third Party Logistics to RUSH deliver a pending customer order, using approved 3PL providers.","Rush deliver to customer, shouldered through points.",NATIONWIDE DELIVERY MINIMUM 1CBM PER INVOICE,N/A,1/inv amt,1.00/inv amt
PRICELISTS,PRICELIST,"Pricelists for platinum DR/DL, Comet EU/DR/DL, Asphalth products, ETC.",Dissemination of Company Information.,N/A,N/A,FREE,FREE
SALES STANDARDS & POLICIES,POLICY,Standards and Policies for review and reference of Sales Personnel.,Dissemination of Company Information.,MUST BE APPROVED BY MANAGEMENT,N/A,FREE,FREE
BUSINESS FORMS,FORMS,"Forms used in day-to-day Sales Activities, required by OPC to comply.",Documentation Compliance.,N/A,N/A,FREE,FREE
CLIENT GIFTS,GIFT,Purchased gift extended to customers for appreciation.,Customer loyalty & rapport.,"Limit of SS/RSR: 1,000/mo. SM: 3,000/mo. PER INVOICE",N/A,2/inv amt,2.00/inv amt
COMET FOLDER,FOLDER1,Business folder of Comet with full C&I product listing inside.,Business presentation to C&I customers.,"BI-FOLD DESIGN, FITS A4 SIZE",N/A,15,20
COMET SHIRT,"MC0042, MC0043, MC0044, 00000000341",A premium black T-Shirt with Comet logo and design in front and back. It also includes website at the back.,Clothing & Apparel for promotion.,"BLACK, RED, WHITE","S, M, L, XL",150,200
COMET POLO,COMET,A Business polo with Comet logo in front and back.,"Uniform for Merchandisers, Sales Staff and Management.","DARK BLUE, BLACK, RED","S, M, L, XL",500,750
COMET TARPAULIN,MC0080C,A tarpaulin designed with the best chosen product line-up from Comet.,To be used as an advertisement for OUTDOOR locations.,SIZE: 3 x 6 FT. FULL COLOR TARAPAULIN,N/A,150,250
COMET FLYER,MC0007C,Basic Comet flyer showcasing all available products and contact information.,To introduce Comet and its small packs line of products.,1/3 A4 SIZE ONE SIDE COLORED,N/A,2,3
